author,comment,publishedTimeText,replyCount,voteCount,comment_after_cleansing,cluster,label
@Sophiapandorah,"Bang Medy udah berubah.
 
Dulu dia kalem. Review mainan sendirian aja atau bareng editor & kameramen.

Sekarang dia lebih rusuh Dan heboh. Banyak Collab dgn YouTuber lain.

Gw rasa sih masa transisi Medy yang mulai lebih sering ikut tren dan collab  telah membawanya sampai ketitik ini",1 hour ago (edited),0,1,bang medy udah ubah kalem review main aja bareng editor kameramen rusuh heboh collab dgn youtuber gw sih transisi medy tren collab bawa titik,4,Promosi Judi
@rudolfmanik68,Baru tau ada podcastnya,2 hours ago,0,0,tau podcastnya,4,Promosi Judi
@annamlpride,"aku nonton bang jerome dari jaman smp,ga kerasa sekarang dah kuliah.makasih bang kontenya menghibur dan memotivasi",2 hours ago,0,0,nonton bang jerome jaman smpga rasa dah kuliahmakasih bang konte hibur motivasi,4,Promosi Judi
@SajjatHossain-u8q,Rezeki besar lagi-lagi datang dari P͟U͟L͟A͟U͟777.,3 hours ago,0,0,rezeki lagilagi pulau777,4,Promosi Judi
@SajjatHossain-u8q,"Dari kecil sampai gede JP, semua berawal dari𝙋𝙐𝙇𝘼𝙪777.",3 hours ago,0,0,gede jp dari777,4,Promosi Judi
@SayraBegum-r5u,PU LA U777emang bener-bener ngasih hasil real bukan omong kosong.,3 hours ago,0,0,pu la u777emang benerbener ngasih hasil real omong kosong,4,Promosi Judi
@SayraBegum-r5u,Sore tadi cuan deras lagi berkat𝓟𝓤𝓛𝓐𝓤777yang gak pernah zonk.,3 hours ago,0,0,sore cuan deras berkat777yang gak zonk,4,Promosi Judi
@SayraBegum-r5u,P͟U͟L͟A͟U͟777jadi tempat paling hoki minggu ini ❤️,3 hours ago,0,0,pulau777jadi hoki minggu,4,Promosi Judi
@SayraBegum-r5u,"MAXWYN lagi-lagi datang dari𝙋𝙐𝙇𝘼𝙪777, luar biasa.",3 hours ago,0,0,maxwyn lagilagi dari777,4,Promosi Judi
@SayraBegum-r5u,"Rezeki terus ngalir dari PU L AU 7 7 7, tiap hari ada aja ❤️",3 hours ago,0,0,rezeki ngalir pu l au 7 7 7 aja,4,Promosi Judi
@SayraBegum-r5u,"Gak bohong, ＰＵＬＡ𝙪777emang ngasih sensasi cuan tak terbatas.",3 hours ago,0,0,gak bohong 777emang ngasih sensasi cuan batas,4,Promosi Judi
@SayraBegum-r5u,Baru 10 menit main di𝓟𝓤𝓛𝓐𝓤777langsung meledak hasilnya.,3 hours ago,0,0,10 menit main di777langsung ledak hasil,4,Promosi Judi
@SayraBegum-r5u,P͟U͟L͟A͟U͟777emang rajanya JEPE cepat tanpa drama ❤️,3 hours ago,0,0,pulau777emang raja jepe cepat drama,4,Promosi Judi
@SayraBegum-r5u,Saldo langsung naik gila-gilaan gara-garaＰＵＬＡ𝙪777.,3 hours ago,0,0,saldo langsung gilagilaan garagara777,4,Promosi Judi
@SayraBegum-r5u,"Tadi pagi iseng login ke PU LA U777, hasilnya luar biasa.",3 hours ago,0,0,pagi iseng login pu la u777 hasil,4,Promosi Judi
@ABSSTRIKERS-h7r,😊😊😊,3 hours ago,0,0,,4,Promosi Judi
@ABSSTRIKERS-h7r,😮😮😮,3 hours ago,0,0,,4,Promosi Judi
@AlifBhuiya-fo1ms,Wow 😲,4 hours ago,0,0,wow,4,Promosi Judi
@Tanzilislam-h1j5i,Coba main modal receh di ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ...ehh malah meledak🤑,4 hours ago,0,0,coba main modal receh ehh ledak,4,Promosi Judi
@Mr.SinatMondol,Gak nyesel udah percaya sama P͟U͟L͟A͟U͟777.,5 hours ago,0,0,gak nyesel udah percaya pulau777,4,Promosi Judi
@WadiZai-v4w,Bisnis mudah kok. Buktinya. Kaesang   langsung.  Duitnya banyak... Dari  pedagang pisang. Jadi pengusaha dan pemegang  saham di mana mana .   Gibran jualan martabak.  Langsung. Jadi wapres..  ..,12 hours ago,0,0,bisnis mudah bukti kaesang langsung duit dagang pisang usaha pegang saham gibran jual martabak langsung wapres,4,Promosi Judi
@rupindamanalu8297,"Betul dok, ""luck""",22 hours ago,0,0,dok luck,4,Promosi Judi
@DediJaya-s1g,13:44 ada privilege dok...privilege nya imortal😂,1 day ago,0,0,1344 privilege dokprivilege nya imortal,4,Promosi Judi
@kecantikanalamai123,6:00,1 day ago,0,0,600,4,Promosi Judi
@masarieiki7257,Santai pak santai 😂😂😂😂😂😂😂,2 days ago,0,0,santai santai,4,Promosi Judi
@ririyanderi5474,"Setuju.. saya pun jadi mulai dari sales & marketing dulu -+ 10tahun baru bisa jadi owner developer property.. sebuah perjalanan yg panjang

klo ada anak muda yg dari nol sukses 1-3th gak percaya klo bukan dr cuci cuci atau titipan😊",2 days ago,0,0,tuju sales marketing 10tahun owner developer property jalan yg klo anak muda yg nol sukses 13th gak percaya klo dr cuci cuci titip,1,Bukan PromosiJudi
@tonyydmg7836,"Wejangan yg SANGAT BERMANFAAAT... Thank you Dr. Tirta, Semoga Sehat Selalu dan Bahagia, moga ada NEXT wejangan lainnya lagi yg bisa membangun utk masyarakat 🙏",4 days ago,0,0,wejang yg bermanfaaat thank you dr tirta moga sehat bahagia moga next wejang yg bangun utk masyarakat,1,Bukan PromosiJudi
@keluargapejabat78,tp agama mengajarkan.....menikah dulu rejeki menyusul.....atau ada yg bilang anak rejekinya......tp nyatanya banyak perkawinan berantakan Krn ekonomi.......😂😅😂😅😂😅,5 days ago,0,0,tp agama mengajarkanmenikah rejeki menyusulatau yg bilang anak rejekinyatp kawin beranta krn ekonomi,4,Promosi Judi
@AkhmadSupriyanto-n3u,"Motivator mmberi ceramah,,inspirator adalah contoh,,,",5 days ago,0,0,motivator mmberi ceramahinspirator contoh,4,Promosi Judi
@YozCreator-zZ,"""nek tidak bisa menghidupi anak e orang lain, jangan buru2 nikah"" cataatttt!!",6 days ago,0,1,nek hidup anak e orang buru2 nikah cataatttt,4,Promosi Judi
@halit-e2k,limabalas SOROS yaman begus vivo,7 days ago,0,0,limabalas soros yaman begus vivo,4,Promosi Judi
@bowobrewok7664,28:00 orang arab bangun pada jam 11 12 siang mulai aktivitas pada kaya semua. Silite KOBONG,7 days ago,0,0,2800 orang arab bangun jam 11 12 siang aktivitas kaya silite kobong,4,Promosi Judi
